Date,Open,High,Low,Close,Adj Close
2011-05-12,49.445713,49.58857,48.895714,49.509998,42.86068
2011-05-13,49.380001,49.464287,48.621429,48.642857,42.109985
2011-05-16,48.457142,48.745716,47.514286,47.614285,41.219566
2011-05-17,47.42857,48.02,47.247143,48.02,41.570786
2011-05-18,48.067142,48.721428,48.0,48.552856,42.032082
2011-05-19,48.868572,48.915714,48.381428,48.647144,42.113697
2011-05-20,48.508572,48.707142,47.860001,47.888573,41.457008
2011-05-23,47.138573,47.997143,47.060001,47.771427,41.355602
2011-05-24,47.92857,47.985714,47.334286,47.455715,41.082294
2011-05-25,47.632858,48.365715,47.549999,48.111427,41.649929
2011-05-26,47.995716,48.127144,47.775715,47.857143,41.429794
2011-05-27,47.828571,48.232857,47.758572,48.201427,41.727859
2011-05-31,48.728573,49.689999,48.714287,49.689999,43.016495
2011-06-01,49.83857,50.304287,49.235714,49.35857,42.729584
2011-06-02,49.5,49.71143,49.185715,49.442856,42.80254
2011-06-03,49.025715,49.332859,48.85857,49.062859,42.473591
2011-06-06,49.385715,49.578571,48.258572,48.291428,41.805752
2011-06-07,48.310001,48.317142,47.414288,47.434284,41.063732
2011-06-08,47.397144,47.828571,47.235714,47.462856,41.088474
2011-06-09,47.607143,47.667141,47.25,47.355713,40.995716
2011-06-10,47.221428,47.380001,46.501427,46.557144,40.304398
2011-06-13,46.742859,46.901428,46.438572,46.657143,40.390961
2011-06-14,47.142857,47.607143,47.044285,47.491428,41.113205
2011-06-15,47.107143,47.185715,46.41143,46.67857,40.409512
2011-06-16,46.700001,46.954285,45.475716,46.451427,40.212875
2011-06-17,46.998573,47.035713,45.622856,45.751427,39.606884
2011-06-20,45.337143,45.385715,44.357143,45.045715,38.995956
2011-06-21,45.240002,46.542858,45.028572,46.471428,40.230194
2011-06-22,46.451427,46.985714,46.054287,46.087143,39.897514
2011-06-23,45.562859,47.384285,45.445713,47.318573,40.963558
2011-06-24,47.33857,47.592857,46.441429,46.621429,40.36005
2011-06-27,46.798573,47.700001,46.75,47.434284,41.063732
2011-06-28,47.664288,48.099998,47.634285,47.894287,41.46196
2011-06-29,48.005714,48.052856,47.41143,47.720001,41.311077
2011-06-30,47.814285,48.01857,47.548573,47.952858,41.512661
2011-07-01,47.992859,49.07143,47.742859,49.037144,42.451332
2011-07-05,49.0,49.975716,48.92857,49.918571,43.214375
2011-07-06,49.849998,50.585712,49.529999,50.251427,43.502525
2011-07-07,50.667141,51.142857,50.57143,51.028572,44.175301
2011-07-08,50.477142,51.42857,50.314285,51.387142,44.485714
2011-07-11,50.905716,51.395714,50.402859,50.57143,43.779568
2011-07-12,50.504284,51.097141,49.802856,50.535713,43.748634
2011-07-13,51.189999,51.42857,50.91143,51.145714,44.276707
2011-07-14,51.572857,51.658573,50.905716,51.110001,44.245792
2011-07-15,51.595715,52.142857,51.310001,52.131428,45.130054
2011-07-18,52.204285,53.521427,52.182858,53.400002,46.228241
2011-07-19,54.0,54.092857,53.331429,53.835712,46.605438
2011-07-20,56.58857,56.610001,55.142857,55.271427,47.848339
2011-07-21,55.278572,55.722858,54.842857,55.327145,47.896568
2011-07-22,55.474285,56.435715,55.392857,56.185715,48.639839
2011-07-25,55.764286,57.142857,55.66,56.92857,49.282921
2011-07-26,57.142857,57.785713,57.097141,57.630001,49.890137
2011-07-27,57.227142,57.52,56.021427,56.084286,48.552017
2011-07-28,55.945713,56.712856,55.447144,55.974285,48.456799
2011-07-29,55.377144,56.450001,54.857143,55.782856,48.291065
2011-08-01,56.825714,57.07143,56.052856,56.67857,49.066498
2011-08-02,56.807144,56.842857,55.478573,55.558571,48.096912
2011-08-03,55.854286,56.221428,54.605713,56.081429,48.549541
2011-08-04,55.630001,55.902859,53.907143,53.91,46.669743
2011-08-05,54.348572,54.785713,51.795715,53.374287,46.205975
2011-08-08,51.669998,52.53857,50.431427,50.458572,43.681858
2011-08-09,51.614285,53.515713,50.714287,53.43,46.254219
2011-08-10,53.021427,53.521427,51.785713,51.955715,44.977917
2011-08-11,52.931427,53.635715,52.102856,53.385715,46.215874
2011-08-12,54.009998,54.234287,53.46143,53.855713,46.622749
2011-08-15,54.232857,54.995716,54.012856,54.772858,47.416718
2011-08-16,54.502857,54.767143,53.722858,54.354286,47.054371
2011-08-17,54.615715,54.931427,54.0,54.348572,47.049416
2011-08-18,52.977142,53.235714,51.624287,52.292858,45.269787
2011-08-19,51.738571,52.42857,50.857143,50.861427,44.030621
2011-08-22,52.072857,52.125713,50.727142,50.919998,44.081306
2011-08-23,51.471428,53.377144,51.0,53.371429,46.20351
2011-08-24,53.352856,54.137142,52.942856,53.740002,46.522579
2011-08-25,52.154285,53.635715,52.142857,53.388573,46.218342
2011-08-26,53.024284,54.828571,52.971428,54.797142,47.43774
2011-08-29,55.454285,55.92857,55.42857,55.709999,48.227997
2011-08-30,55.464287,55.977142,55.172855,55.712856,48.23048
2011-08-31,55.795715,56.011429,54.55143,54.975716,47.592335
2011-09-01,55.117142,55.334286,54.388573,54.432858,47.122391
2011-09-02,53.534286,54.0,53.118572,53.435715,46.259155
2011-09-06,52.48143,54.332859,52.354286,54.248573,46.962841
2011-09-07,55.080002,55.085712,54.57143,54.847141,47.481033
2011-09-08,54.628571,55.515713,54.615715,54.877144,47.507008
2011-09-09,54.847141,55.142857,53.574287,53.925713,46.68335
2011-09-12,53.285713,54.41143,53.128571,54.277142,46.987572
2011-09-13,54.591427,55.172855,54.32143,54.945713,47.566364
2011-09-14,55.28857,56.029999,55.10857,55.614285,48.145142
2011-09-15,55.918571,56.237144,55.700001,56.137142,48.59779
2011-09-16,56.505714,57.214287,56.432858,57.214287,49.530254
2011-09-19,56.714287,59.032856,56.457142,58.804287,50.906712
2011-09-20,59.32143,60.408573,58.741428,59.064285,51.131794
2011-09-21,59.94857,60.227142,58.857143,58.877144,50.969795
2011-09-22,57.290001,58.545715,56.671429,57.402859,49.693508
2011-09-23,57.182858,58.105713,57.121429,57.757141,50.00021
